Headlines,Date
"Crystal City, a declining neighborhood in Arlington, Va., cheered Amazon’s arrival on Tuesday. It’s getting a new name — National Landing — to go along with its victory.",2018/11/13
"The deal reached between Gov. Andrew M. Cuomo, Mayor Bill de Blasio and Amazon was constructed to blunt the veto power of local politicians.",2018/11/15
"“A Rainy Day in New York,” starring Timothée Chalamet and Elle Fanning, will be released in Italy on Oct. 3. German and Spanish distributors have confirmed they are releasing it.",2019/05/09
"A task force concluded that package delivery, including for the online retailer, was subsidizing other parts of the service. But its report included recommendations that made online retailers uneasy.",2018/12/04
"Apple became the first public company to be worth $1 trillion. Amazon hit the same milestone a month later, but the reasons for the e-commerce titan’s rise are more complicated.",2018/09/04
"Berkshire Hathaway, JPMorgan Chase and Amazon are teaming up to form an independent health care company to serve their employees.",2018/01/30
Here’s our pick of the titles joining streaming services this weekend.,2017/12/08
The online retailer is a rarity: A start-up that has been profitable. But investors will have to decide if it can compete with the e-commerce behemoth.,2017/11/16
"Every month, subscription streaming services add a new batch of movies and TV shows to their libraries. Here are the titles we think are most interesting this month.",2018/03/01
The companies are working together to keep pace in the race for online shoppers. They hope a transition to voice technology will help.,2017/08/23
The museum said that it was “deeply concerned” about renting the space for an event to honor someone whose environmental policies had been widely criticized.,2019/04/15
The suit accuses the company of improperly classifying a former shift manager in California as an employee exempt from overtime pay.,2017/06/11
Here’s what you need to know to start your day.,2018/01/18
"Two Democratic senators asked U.S. Defense Secretary Mark Esper on Monday if ""outside"" influence caused him to delay awarding a $10 billion cloud computing contract, after President Donald Trump suggested Amazon.com Inc should not win it.",reuters/20
"The toy retailer is another failure of financial engineering, one that could portend a potentially more ominous outlook for private equity in the digital era.",2018/03/15
"The 67-story condominium won’t be completed until 2021, but already has nearly 700 buyer inquiries.",2018/12/27
"Mr. Bezos will keep 75 percent of the couple’s stock in Amazon and all of their ownership of The Washington Post and Blue Origin space company, Ms. Bezos wrote.",2019/04/04
How the country might return to a time when corporate executives rejected pure greed.,2018/10/03
Chris Feliciano Arnold’s “The Third Bank of the River” is a reported and personal look at the problems plaguing the Amazon and its people.,2018/08/17
A preview of the film.,video/embe
A preview of the film.,video/embe
"New York’s not ready for Amazon’s HQ2, but here’s how the city can get there.",2018/11/21
"A Brazilian expedition captured images of the indigenous peoples and their tools, along with an aerial photo of a thatched hut.",2018/08/23
Amazon won’t say a word about where it plans to put its much-hyped second headquarters. But there is a growing consensus that it will go across the river from Washington.,2018/10/18
"In new tests, Amazon’s system had more difficulty identifying the gender of female and darker-skinned faces than similar services from IBM and Microsoft.",2019/01/24
"After the online retail giant abandoned its controversial plan to open a headquarters in Queens, New Yorkers deconstructed what went wrong.",2019/02/15
"Every month, subscription streaming services add a new batch of titles to their libraries. Here are the ones we think are most interesting for February.",2019/02/01
A possible headquarters in Long Island City sparked fears of subway crowding and hopes that some big ideas in transit would come to pass.,2018/11/06
"After a yearlong search for another home, Amazon has finalized plans to split about 50,000 employees between Long Island City in Queens and Crystal City, Va.",2018/11/12
"Many locations will receive investment from Amazon if they aren’t home to its second headquarters — and they will escape expensive incentives, too.",2018/10/25
"Pressure applied by activists and many elected officials led to Amazon pulling out of Queens, but a political backlash may await them.",2019/02/14
"It was a technological wonder — until the retail landscape changed and new innovation, and greedy owners, arrived.",2018/10/15
"In Ohio, where companies like FirstEnergy and Goodyear pay no federal corporate taxes, Democrats haven’t figured out how to leverage anxiety over income inequality to defeat President Trump.",2019/04/29
Such a purchase could become the commerce giant’s biggest ever deal. But it would be bold gamble.,2018/11/21
Almost everyone had an opinion on the company’s reversal on a second headquarters in Queens.,2019/02/14
Tensions may flare at a hearing on the city’s development deal with Amazon. Also: One reason you’re seeing Ariana Grande everywhere.,2018/12/12
"Amazon’s arrival in New York City has been loud. But Google has been quietly expanding in Manhattan for years, with few complaints from residents.",2018/12/14
The state should help preserve rain forests through its cap and trade system for reducing greenhouse gas emissions.,2018/08/29
Mayor de Blasio’s progressive allies have lashed out at the heavy subsidies for Amazon’s move to Queens.,2018/11/16
The company also said it would lobby the federal government for a higher minimum wage.,2018/10/02
A preview of the film.,video/embe
A preview of the film.,video/embe
"Quotation of the Day for Friday, February 15, 2019.",2019/02/14
Amazon announced its plans for a second headquarters a year ago on Friday. People in the 20 finalist cities are looking for any sign of a winner.,2018/09/07
"New York’s governor, Andrew Cuomo, and New York City’s mayor, Bill de Blasio, came together at a news conference to celebrate their victory in a competition to land a new Amazon headquarters.",video/nyre
The “Late Late Show” host razzed the tech giant for the anticlimactic news that it would set up headquarters in New York and the Washington metro area.,2018/11/14
"The title of largest company by market value has changed hands seven times since late last year, thanks to Apple’s sliding stock price and the broader turmoil in tech stocks.",2019/02/05
"Every month, subscription streaming services add a new batch of titles to their libraries. Here are the ones we think are most interesting for April.",2019/04/01
Sales are booming at major chains that have taken cues from their giant online rival — signs of a revival in a $3.5 trillion industry.,2018/09/03
"There is no economic benefit to huge tax incentives to lure new companies, so why do cities keep offering them?",2018/11/13
The government announced a new policy barring the foreign companies from selling products from affiliated companies on their Indian shopping sites.,2018/12/26
Walmart’s foray into entertainment comes as the company seeks to expand its business beyond brick and mortar retailing and challenge Amazon.,2018/10/11
The columnists are surprised to find they all agree on Amazon’s uninspired choice of new headquarters locations — but for very different reasons. David Leonhardt plays “neo-liberal shill.” Ross Douthat asks pro-Trump writer Daniel McCarthy if the ...,
Here’s what you need to know to start your day.,2018/11/13
A preview of the film.,video/embe
"The retailer said it would not let third-party merchants sell goods with Nazi and white nationalist symbols on its platform, amid pressure from nonprofits and lawmakers.",2018/08/02
The Amazon chief’s split from his wife raises questions about the disposal of their enormous stake in the company he founded. Investors deserve answers.,2019/01/18
Here’s what you need to know to start your day.,2018/10/17
"Interest in real estate open houses has already spiked, and prices will likely rise. Here’s a in depth look at the transformation of a neighborhood. ",2018/11/22
"New York will give Amazon more than $1.2 billion in incentives to establish a hub in the city, and not everyone thinks it’s worth it.",2018/11/14
The billionaire activist investor is citing the online retailer in opposing Cigna’s $52 billion deal for Express Scripts.,2018/08/08
"As the online retailer looked at India, its top new market, it realized it needed to reach beyond the relatively small, urban English-speaking population.",2018/09/04
"Amazon’s announcement of a headquarters in Queens today sets up a showdown between local officials, who are hesitant about the deal, and the mayor and governor who both want it.",2018/11/13
"The company now has roughly 100 private label brands for sale, but few of those are sold under the Amazon brand.",2018/06/23
A preview of the film.,video/embe
"Quotation of the Day for Saturday, February 16, 2019",2019/02/15
The surprise change would allow the company to tap into the talent pools of two different regions.,2018/11/05
"Site details? Incentives? Much of the process has been secret, and local officials and developers signed nondisclosure agreements.",2018/11/07
"The online retailer will make products from its main website available, reversing a decision that angered its customers earlier this year.",2018/11/21
"Plus, tax season brings bad news, and the Fed offers more clues about its change of heart.",2019/02/16
The auction site said it was tipped off to the situation by an eBay seller who had been contacted by Amazon.,2018/10/03
Here’s what you need to know at the end of the day.,2019/02/14
"Yes, Amazon’s departure will modestly hurt the city’s economy. But it’s also a victory against bad economic policy.",2019/02/17
"Tech companies and their employees love big cities, but Amazon needs to do better for people who live in any city chosen for its second headquarters.",2018/11/06
"Eager candidates offered name changes, helipads and even cactuses to entice the company into setting up shop. ",2018/11/14
Readers discuss the company’s process of choosing a city for its second headquarters.,2018/01/31
"Look around at the Indian town of Leh, 11,562 feet up in the Himalayas.",video/embe
Scientists once ridiculed the idea of a living planet. Not anymore.,2019/04/20
Various approaches could lessen the economic shocks that globalization and technological change have delivered. Some might even be bipartisan.,2018/11/19
The Supreme Court’s decision to expand states’ ability to tax e-commerce sales hurt many online sellers. Except for the big one.,2018/06/21
Amazon has made home automation a major focus because of the success of its Echo family of products.,2018/02/27
"The Midwest capital city would seem to be a long shot for Amazon’s new headquarters, but its low costs and business-friendly climate might help its chances.",2018/01/25
Here’s what you need to know to start your day.,2018/06/28
"The retailer’s stock is soaring, but it wasn’t always that way. The company had lean years in which it told investors to have faith in its long-term strategy.",2018/02/04
"Every month, subscription streaming services add a new batch of titles to their libraries. Here are the ones we think are most interesting for September.",2018/09/01
"The grocer will give large discounts for some products, and 10 percent off hundreds of sale items in stores.",2018/05/16
"Amazon now collects sales tax in every state that has one, but a report finds that the company still doesn’t collect local taxes in dozens of cities.",2018/03/25
"Quotation of the Day for Saturday, July 21, 2018.",2018/07/20
Kimmel responded to public criticisms that the president has leveled at Amazon over the past few days.,2018/04/04
"Many economists see deals offering tax breaks to attract corporate sites as inefficient, expensive and ultimately ineffective.",2018/01/26
"The biggest companies may be influencing things like inflation and wage growth, possibly at the expense of central bankers’ power to do so.",2018/08/25
"The errors emerged as part of a test by the A.C.L.U. that compared the photos of all federal lawmakers against a database of 25,000 publicly available mug shots.",2018/07/26
The 73-year-old star of Jill Soloway’s Emmy-winning series will not return to the role that brought him late-career plaudits.,2018/02/15
"If the Trump administration pursues ways to curtail the company, it would meet sizable obstacles.",2018/03/29
A pilot program will pick up goods and move them to Amazon warehouses. It could expand over time into more of a threat to established delivery companies.,2018/02/09
The European Union’s antitrust chief announced an inquiry into the e-commerce giant over its use of data collected about third-party merchants.,2018/09/19
"Amazon promises tens of thousands of new jobs, but should we expect more than that?",2018/11/12
The sole survivor of an isolated indigenous community in the Brazilian Amazon looks strong and vibrant in new video footage.,2018/07/20
"The online retailer’s profits exceeded expectations but its revenues did not, leading to a muted response from Wall Street.",2018/07/26
"Lawmakers who opposed New York’s Amazon deal are touting its collapse as a political victory, but some say this messaging may come back to haunt them.",
Amazon missed an opportunity to generate good will and bridge the divide between red and blue America by picking a city in the heartland.,2018/11/15
Many residents of Long Island City wonder whether “grandstanding politicians” and people with no roots in the community sabotaged a good thing.,2019/02/14
How well did you follow the news this past week? How many of these 10 questions can you get right?,interactiv
"The Massachusetts senator, who is running for president, announced a regulatory plan aimed at breaking up large tech companies and “unwind tech mergers that illegally undermine competition.”",2019/03/08
"The accusations by Gavin de Becker, Mr. Bezos’ longtime security consultant, are the latest twist in a bizarre situation that has also pulled in the largest U.S. tabloid publisher and The Washington Post.",2019/03/30
A beloved 1990s movie gets a new TV adaptation on BET. And an absurd anthology series debuts on TBS.,2019/02/12
Privacy concerns caused the computerized eyewear to fail with the general public. But researchers believe it could help autistic children learn to recognize emotion and make eye contact.,2019/07/17
Very little escapes scrutiny from witty online commentators.,2018/11/22
"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.",2016/10/02
Did you stay up to date this week?,interactiv
"Rami Malek struts his stuff as Freddie Mercury, and Idris Elba narrates an immersive wildlife documentary about Africa.",2019/07/06
"Amazon appears to be leaning toward opening a new office in New York. Now word comes that Google, already a big employer in the city, may add on.",2018/11/07
Trump imposes new tariffs.,2019/08/01
"In an online post, the chief executive of Amazon said the tabloid’s owner had used “extortion and blackmail” to try to stop his investigation into leaked photos and text messages.",2019/02/07
A crime drama starring Carla Gugino airs on Cinemax and the second season of the animated series featuring Retsuko the Red Panda returns to Netflix.,2019/06/14
Gabriel Iglesias stars in a new Netflix series. And Paul Dano’s directorial debut airs on Showtime.,2019/06/21
A documentary about a drag festival premieres on HBO. And “Captain Marvel” is on Amazon.,2019/06/18
"John Carpenter’s 1980 movie, which hinges more on suspense than on gore, has been newly restored and is showing at the Metrograph.",2018/10/24
Here’s what you need to know at the end of the day.,2019/05/28
“The Marvelous Mrs. Maisel” returns to Amazon. And Michelle Obama speaks in an extensive interview on BET.,2018/12/05
Officials from the two countries are meeting this week to continue working on a truce. But neither side seems eager for a speedy resolution.,2019/07/29
Four California voters have sued to block a new state law aimed at forcing Republican President Donald Trump to release his income tax returns.,aponline/2
"Deutsche Post DHL said on Tuesday it expects restructuring measures and increases in German postage and parcel prices to lift earnings in the second half of 2019,  despite rising global trade tensions.",reuters/20
"In electing Mr. Bolsonaro, a far-right politician who becomes president on Tuesday, voters signaled a desire for radical change. It is already underway.",2019/01/01
"Mr. Bezos and his wife, MacKenzie, made what was by far their largest political contribution to the With Honor Fund, which backs congressional candidates with military backgrounds.",2018/09/05
Investors have long been generous with Amazon. But lower-than-expected quarterly revenue growth dropped the company’s share price more than 4 percent.,2017/02/02
"The couple were married at the Inn at Perry Cabin in St. Michaels, Md.",2019/06/30
China arrests another Canadian.,2019/07/14
"OpenAI, now managed by start-up guru Sam Altman, wants to create a machine that can do anything the human brain can do. Skeptics wonder if it is possible.",2019/07/22
The team behind “Preacher” brings a new comic-book adaptation to Amazon Prime Video. It’s sort of like “Watchmen” with jokes.,2019/07/26
"Until recently big tech companies were seen as one of the few relatively untainted sources of big-money donations for Democrats. Now, that’s changing.",2019/06/06
"For decades, smaller metropolitan areas closed the income gap with bigger, richer ones, but no longer. So places like Winston-Salem, N.C., are trying to lay a new foundation for prosperity.",2019/07/16
A documentary about a struggling high school wrestling team airs on PBS. And Celine Dion joins James Corden for karaoke in a new special.,2019/05/20
"Neighborhood-watch networks are on the rise, even though crime is not. Here’s how to put the data into perspective.",2019/05/29
"The paper, which has flourished under Mr. Bezos’ ownership, is now reporting on his dispute with another publisher, American Media Inc.",2019/02/11
Brazil's right-wing President Jair Bolsonaro canceled a meeting this week with French Foreign Minister Jean-Yves Le Drian - getting a haircut instead - amid deepening tensions over climate change policy that could endanger the EU-Mercosur trade ac...,reuters/20
"Her divorce from the Amazon founder Jeff Bezos has made this novelist, and her private life, a public fascination.",2019/01/12
"Rules protecting user data could encourage companies to behave better, but there’s little agreement in Washington about what they should look like.",2019/07/26
"Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:",aponline/2
Many of the biggest nominees are already streaming. Here’s a rundown of what they are and where to find them.,2019/01/22
Ms. Cabán’s showing in the Queens district attorney primary revealed that progressive supporters can rally national support and money for a local race.,2019/06/26
"Vast physical distances are becoming less limiting, bringing conveniences but perhaps eroding the state’s special identity.",2017/08/18
"Google has given reassurances that it won't make transcripts of speech data picked up by its Google Assistant system in the European Union for at least the next three months, a German data-protection authority said Thursday.",aponline/2
The wildly popular home assistant offers a vision of an automated future — one that Amazon itself is poised to dominate.,2017/01/24
"The impact on quarterly results announced Thursday was particularly acute at Amazon, far and away the leader in online computing services.",2017/04/27
The ride-hailing giant plans to disclose this morning that its I.P.O. could value it at $90 billion — less than it had told some investors to expect.,2019/04/26
Conflicting national laws on harmful content could have unintended consequences for the global internet.,2019/04/12
"A decade after the “Save the Rainforest” movement captured the world’s imagination, Cargill and other food giants are pushing deeper into the wilderness.",2017/02/24
The goal of automation has always been efficiency. What if artificial intelligence sees humanity itself as the thing to be optimized?,2019/06/23
"As “Avengers: Endgame” hits theaters, many Marvel movies air on TV. And Noelle Stevenson’s warrior princess series returns on Netflix.",2019/04/26
"Mr. Sanders has long railed against the health care industry, arguing that it has gotten rich at the expense of regular Americans.",2019/06/27
"Called “The Romanoffs,” this drama will be an 8-episode anthology about people who believe they are descendants of the former ruling family of Russia.",2017/03/02
This haunting documentary looks at the ritual of the hunt and its place in the history and identity of today’s Lakota Sioux.,2019/06/28
"We asked Steve Bullock 18 questions on subjects including climate change and border control, fast food and personal humiliation.",interactiv
"Has music streaming ignored aficionados of Mozart and Beethoven? Two new services, Idagio and Primephonic, address the needs of the genre’s discerning listeners.",2019/06/23
Living without water in Chennai.,2019/07/11
Here’s what you need to know.,2019/07/14
Billionaires and business leaders have flocked to Los Angeles for the annual conference in L.A. They have socialism on their minds.,2019/04/29
"We claim to want it, companies claim to provide it, but we all just accept that, well, you have no privacy online.",interactiv
"Every month, there are new movies and TV shows added to streaming platforms. Here are the titles we think are most interesting for the latter half of June.",2017/06/19
Congestion pricing and the tax breaks offered to Amazon were among the issues that Mayor Bill de Blasio was grilled on by fellow Democrats.,2019/02/11
The network promotes TV veterans (Fran Drescher! Brian Williams!) while noting that it’s pushing back the start date of its streaming service.,2019/05/13
"The company’s I.P.O. prospectus shows just how big the company is, but it also raises some large red flags to investors.",2019/04/12
Lawmakers had strong questions and criticism for tech giants yesterday during three hearings on Capitol Hill. Here’s what happened.,2019/07/17
"In a choreographed presentation, the Amazon founder said he wants to build the infrastructure for humans to live in space.",2019/05/09
Plaintiffs argued that the technology giant had used its monopoly power to raise the prices of iPhone apps.,2019/05/13
"The bills come amid a trend toward “cash-free” stores, which supporters say are more convenient. Critics counter that they discriminate against the poor.",2019/02/20
Go with your instinct over the wisdom of the crowd.,2019/05/25
A four-part documentary about the record producer Rick Rubin begins. And Denzel Washington occupies both sides of the moral coin (or subway token).,2019/07/12
The drug drama “Snowfall” returns on FX. And a new season of “Harlots” brings 18th-century brothels back to Hulu.,2019/07/10
Russian officials are investigating Apple’s moves to remove parental control apps from its App Store shortly after it released a competing service.,2019/08/09
"Amazon Inspire, a resource site where teachers share lesson plans, removed three items after complaints that the products were copyrighted materials.",2016/06/30
"In the On Politics newsletter, a Democratic strategist says it might be time for the party to jettison Iowa and Ohio and focus on the Sun Belt — Arizona, Texas and Georgia.",2018/11/13
"The company said to expect as much as $1.25 billion in operating income for the fourth quarter and as little as nothing, a remarkably wide range.",2016/10/28
Fallon joked: “Everyone’s fighting. People are exhausted. There’s no end in sight. It’s basically like playing a game of Monopoly with your family.”,2019/01/11
"The actress and singer, known for her wholesome, sunny screen presence, died on Monday.",2019/05/13
The couple met in 2011 while playing in Washington on the same team in an adult kickball league.,2019/08/11
"With all the demands and stresses of modern life, carving out a two-hour chunk of the day isn’t always possible. Amazon Prime has a handful of excellent films of all kinds, from terrifying to adorable, that run at under an hour and a half.",interactiv
The errors also affected businesses that rely on Google’s technology. Google said the problems were not caused by a cyberattack.,2019/06/02
Here’s what you need to know to start your day.,2017/08/03
“Saturday Night Live” Season 44 comes to an end. And “Fleabag” is back on Amazon Prime Video.,2019/05/18
"The grocery-store industry now faces, in addition to overseas competitors, a deep-pocketed rival with a track record of moving customers online.",2017/06/16
The bookstore chain’s future was the subject of speculation for months before the hedge fund said it would buy it for $638 million.,2019/06/07
Senator Elizabeth Warren has an interesting plan for reform. But it has shortcomings worth considering.,2019/03/13
"The unveiling of the first ever image of a black hole tapped into a longstanding fascination. Where did that come from? In part, from movies like these.",2019/04/10
"If American Media is found to have broken a law, it would be in violation of a deal struck with federal prosecutors in connection to hush money paid to protect Donald Trump.",2019/02/08
Amazon is not in the business of saving your hometown.,2018/11/13
Many of the big-name titles are already streaming. Here’s a look at where find them and what The Times first had to say about them.,2019/01/07
Here’s what you need to know at the end of the day.,2017/06/16
"Nearly all of the night’s winner’s are available online to stream, rent or buy. Here’s at look at what they are and where to find them.",2019/02/25
Catch the final season of an irreverent romantic comedy series on Amazon. Or follow a father’s search for his daughter in a thriller on Starz.,2019/03/16
"App Store Official Charts for the week ending July 28, 2019:",aponline/2
"The New York store will be the eighth location the company, which has been cautiously expanding its brick-and-mortar presence, has opened or announced.",2017/01/05
"This weekend offers a clever new sci-fi anthology on Netflix, tea with Judi Dench and a thrilling mini-series with Tom Hardy.",2019/03/21
A biographical drama starring Keira Knightley is streaming on Amazon. And “Terrace House: Opening New Doors” returns on Netflix.,2019/03/12
Satur Farms and Rick’s Picks have you covered for your next park excursion.,2019/07/01
Ricky Gervais plays a nasty widower in a new Netflix series. And “Tin Star” returns to Amazon.,2019/03/08
"They can help turn around issues like climate change, species extinction and dwindling human cultures.",2018/04/19
"It’s important to have diverse teams; when it’s just white men doing the programming, artificial intelligence systems are based on how they act.",2019/06/17
"Corrections appearing in print on Sunday, May 12, 2019.",2019/05/11
A new series from The New York Times debuts on FX. And hop over to AMC to see Zachary Quinto eat children’s souls.,2019/06/02
"Intense new scrutiny on companies like Google, Apple, Facebook and Amazon could last years and lead to the first overhaul of antitrust rules in decades.",2019/06/03
"Mexican President Andres Manuel Lopez Obrador said on Tuesday that he will propose a constitutional change to Congress to eliminate tax write-offs, as he attempts to strengthen the country's finances without imposing new taxes.",reuters/20
Season 3 of Morgan Freeman’s travelogue series returns on National Geographic. And the rock climbing documentary “The Dawn Wall” arrives on Netflix.,2019/03/05
"Local journalism has been pushed “to the verge of extinction,” said a member of a committee that plans 18 months of hearings and other scrutiny of the big technology platforms.",2019/06/11
Season 5 of the British reality show begins streaming on Hulu. And Ice Cube’s three-on-three basketball league kicks off its third season.,2019/06/22
"The U.S. Federal Aviation Administration said on Friday it had approved the first drone flight beyond the operator's sight line, a major advance for retailers like Amazon.com Inc seeking to speed up deliveries by drone.",reuters/20
"People used to flock to the Araguari River to catch the Pororoca, which once brought waves over five feet high, but surfers last rode it in 2013.",2016/11/21
He built the world’s largest fortune with an iron discipline. Now a wild cast of only-in-L.A. characters have seized his narrative.,2019/03/02
"The new law, which takes effect July 1, is part of a growing backlash to cashless policies, which critics say discriminate against people without bank accounts or credit cards.",2019/03/07
A documentary about Chelsea Manning airs on Showtime. And the German director Eva Trobisch’s award-winning debut feature hits Netflix.,2019/06/07
"The new movie, filmed in Cuba with the director Hiro Murai, will start streaming Saturday on Amazon after being shown at Coachella.",2019/04/11
"As the population surges and drug gangs expand, hijacking opportunities along the Amazon have flourished, and police forces are struggling to keep up.",2016/11/19
Here’s what you need to know.,2019/07/15
"The purchase price for Souq.com is pocket change for the online retailing giant, yet overseas buyers have found this market challenging.",2017/03/23
We can change safe harbor laws to hold social media platforms accountable.,2019/08/07
"Washington and Beijing are edging toward an agreement on trade, but it may do little to materially change China’s practices.",2019/03/04
Retailers should refuse to stock inefficient incandescent bulbs.,2019/04/28
“Empire” wraps up its fifth season. And a workplace comedy about an abortion clinic picks up for Season 2.,2019/05/08
"We asked the candidates whether tech giants like Facebook, Amazon and Google should be broken up.",interactiv
"The couple met at the University of California, Los Angeles.",2019/07/14
"App Store Official Charts for the week ending August 4, 2019:",aponline/2
"After President Trump said the late-night shows were trading in “one-sided hatred,” Kimmel pushed back.",2019/03/14
"Corrections appearing in print on Saturday, April 13, 2019.",2019/04/12
"The streaming company said it would spend up to $100 million on six soundstages in Brooklyn, adding to New York City’s growing role in the film industry.",2019/04/18
"Pippa Bianco’s debut feature about sexual assault and memory comes to HBO, and Viola Davis’s heist drama is available to stream.",2019/07/27
Hannah Brown reaches the final rose on “The Bachelorette” season finale. And Cummings tackles sexual harassment in her latest stand-up special.,2019/07/30
Cloudflare and Google dealt with issues that affected countless sites and users on Tuesday.,2019/07/02
A streaming comic book adaptation gives fresh meaning to the word “antihero.” And rent “Dumbo” to catch up with recent Disney remakes.,2019/07/26
"The director may have a tarnished reputation in the United States, but he has been able to secure funding from a Barcelona-based company for a new project.",2019/02/21
New movies and TV shows are added to streaming platforms each month. Here are the titles we think are most interesting in August.,2017/08/02
"While stock in the upscale supermarket chain surged on Friday morning, shares in other grocery giants and retailers dropped.",2017/06/16
New movies and TV shows are added to streaming platforms each month. Here are the titles we think are most interesting in September.,2017/08/31
The company is putting its stamp on the city with an expanding array of unconventional experiments in bricks-and-mortar sales.,2017/02/12
The Oscar-nominated director died Monday at the age of 51. The movies he made in his first decade showcased a filmmaker of variety and intelligence.,2019/04/29
"Four inmates allegedly involved in deadly clash between prison gangs have died of asphyxiation while being transferred to a safer lockup, authorities said Wednesday, as families of victims began to bury their relatives.",aponline/2
Watch an “Ocean’s” installment with a feminist twist on HBO. Or stream an action flick starring a formidable Dave Bautista on Amazon.,2019/01/12
Amsterdam-based Takeaway.com has agreed to buy Just Eat in an 8.2 billion pound ($10.1 billion) deal to create the world's largest online food delivery firm outside China in a race to rule the $100 billion market.,reuters/20
"The e-commerce company is looking to make a temporary arrangement permanent, pledging to spend “tens of millions of dollars” on a facility for families.",2017/05/10
What kinds of companies will be the next so-called unicorns? A hint: Many of them won’t have much in common with Uber or Airbnb.,2019/02/15
Workers at tech companies like Amazon are starting to use the stock grants that they were paid to turn the tables on their employers.,2018/12/16
Cities should treat rising rents like pollution and tax the companies that cause it.,2019/01/18
"Our TV critic recommends a great Icelandic cop drama, a soothing dog documentary and a returning Netflix favorite.",2019/07/25
The Oscars air on ABC. And three other movies our chief critics liked in 2018 but weren’t nominated are streaming.,2019/02/24
"The year’s notable fiction, poetry and nonfiction, selected by the editors of The New York Times Book Review.",interactiv
"The government plans to outlaw the destruction of brand-new consumer products, a practice that companies use to stop goods from being stolen or sold at steep discounts.",2019/06/05
Daniel Radcliffe suffers for his art in this true-life survival tale about the Israeli adventurer Yossi Ghinsberg.,2017/10/19
A rare service breakdown has provided an opportunity for rivals like Google and Microsoft to preach the benefits of working with multiple providers.,2017/03/12
